age,default,balance,housing,loan,day,duration,campaign,pdays,previous,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown
0.1688311688311688,0,0.1104624770758811,1,0,0.6666666666666666,0.0642537616917446,0.032258064516129,0.1146788990825688,0.0327272727272727,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0.5454545454545454,0,0.0764712290959272,0,0,0.6666666666666666,0.0681171207808052,0.0161290322580645,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.4545454545454545,0,0.1333684382546801,1,1,0.9666666666666668,0.0146400976006506,0.1290322580645161,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.4545454545454545,0,0.0972527372759791,0,0,0.6666666666666666,0.0284668564457096,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0.1558441558441558,0,0.1002759973126577,0,0,0.7333333333333333,0.0510370069133794,0.0,0.6146788990825688,0.0036363636363636,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.2337662337662338,0,0.1742505401921086,1,0,0.4666666666666667,0.1937779585197234,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.3506493506493507,0,0.1362918308426997,1,0,0.6333333333333333,0.057543716958113,0.0,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0.4805194805194805,0,0.0782688431717901,0,0,0.1,0.0793005286701911,0.0161290322580645,0.1731651376146789,0.0218181818181818,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.4285714285714285,0,0.0735932308027527,0,0,0.8333333333333334,0.0085400569337128,0.0967741935483871,0.0,0.0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.1818181818181818,0,0.0812648666315617,1,0,0.5,0.1919479463196421,0.0,0.3658256880733945,0.0036363636363636,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
